model,problem_id,layer,cosine_similarity
Qwen/Qwen2.5-0.5B-Instruct,probability_1,22,0.9812778234481812
Qwen/Qwen2.5-0.5B-Instruct,probability_1,23,0.9798700213432312
Qwen/Qwen2.5-0.5B-Instruct,probability_1,24,0.9538788199424744
Qwen/Qwen2.5-0.5B-Instruct,probability_2,0,0.9317183494567871
Qwen/Qwen2.5-0.5B-Instruct,probability_2,1,0.9780176877975464
Qwen/Qwen2.5-0.5B-Instruct,probability_2,2,0.991192102432251
Qwen/Qwen2.5-0.5B-Instruct,probability_2,3,0.9828295707702637
Qwen/Qwen2.5-0.5B-Instruct,probability_2,4,0.9937765598297119
Qwen/Qwen2.5-0.5B-Instruct,probability_2,5,0.9937844276428223
Qwen/Qwen2.5-0.5B-Instruct,probability_2,6,0.9927569627761841
Qwen/Qwen2.5-0.5B-Instruct,probability_2,7,0.9897670149803162
Qwen/Qwen2.5-0.5B-Instruct,probability_2,8,0.989783763885498
Qwen/Qwen2.5-0.5B-Instruct,probability_2,9,0.9889242053031921
Qwen/Qwen2.5-0.5B-Instruct,probability_2,10,0.9888229370117188
Qwen/Qwen2.5-0.5B-Instruct,probability_2,11,0.9864435195922852
Qwen/Qwen2.5-0.5B-Instruct,probability_2,12,0.9854439496994019
Qwen/Qwen2.5-0.5B-Instruct,probability_2,13,0.9822753071784973
Qwen/Qwen2.5-0.5B-Instruct,probability_2,14,0.9829222559928894
Qwen/Qwen2.5-0.5B-Instruct,probability_2,15,0.9781690835952759
Qwen/Qwen2.5-0.5B-Instruct,probability_2,16,0.9676932096481323
Qwen/Qwen2.5-0.5B-Instruct,probability_2,17,0.9609119892120361
Qwen/Qwen2.5-0.5B-Instruct,probability_2,18,0.9605392813682556
Qwen/Qwen2.5-0.5B-Instruct,probability_2,19,0.9611514210700989
Qwen/Qwen2.5-0.5B-Instruct,probability_2,20,0.9558746814727783
Qwen/Qwen2.5-0.5B-Instruct,probability_2,21,0.9669631123542786
Qwen/Qwen2.5-0.5B-Instruct,probability_2,22,0.989125669002533
Qwen/Qwen2.5-0.5B-Instruct,probability_2,23,0.9885949492454529
Qwen/Qwen2.5-0.5B-Instruct,probability_2,24,0.9715424180030823
Qwen/Qwen2.5-0.5B-Instruct,word_1,0,0.9482962489128113
Qwen/Qwen2.5-0.5B-Instruct,word_1,1,0.9783745408058167
Qwen/Qwen2.5-0.5B-Instruct,word_1,2,0.9910812973976135
Qwen/Qwen2.5-0.5B-Instruct,word_1,3,0.9810531139373779
Qwen/Qwen2.5-0.5B-Instruct,word_1,4,0.9930252432823181
Qwen/Qwen2.5-0.5B-Instruct,word_1,5,0.9932697415351868
Qwen/Qwen2.5-0.5B-Instruct,word_1,6,0.9923537969589233
Qwen/Qwen2.5-0.5B-Instruct,word_1,7,0.9893330931663513
Qwen/Qwen2.5-0.5B-Instruct,word_1,8,0.9889345765113831
Qwen/Qwen2.5-0.5B-Instruct,word_1,9,0.9878764748573303
Qwen/Qwen2.5-0.5B-Instruct,word_1,10,0.9880660176277161
Qwen/Qwen2.5-0.5B-Instruct,word_1,11,0.9862833619117737
Qwen/Qwen2.5-0.5B-Instruct,word_1,12,0.985382080078125
Qwen/Qwen2.5-0.5B-Instruct,word_1,13,0.9833075404167175
Qwen/Qwen2.5-0.5B-Instruct,word_1,14,0.9832278490066528
Qwen/Qwen2.5-0.5B-Instruct,word_1,15,0.9784761071205139
Qwen/Qwen2.5-0.5B-Instruct,word_1,16,0.9695263504981995
Qwen/Qwen2.5-0.5B-Instruct,word_1,17,0.9625433683395386
Qwen/Qwen2.5-0.5B-Instruct,word_1,18,0.9617867469787598
Qwen/Qwen2.5-0.5B-Instruct,word_1,19,0.9626144766807556
Qwen/Qwen2.5-0.5B-Instruct,word_1,20,0.9560688734054565
Qwen/Qwen2.5-0.5B-Instruct,word_1,21,0.9689735770225525
Qwen/Qwen2.5-0.5B-Instruct,word_1,22,0.9892014861106873
Qwen/Qwen2.5-0.5B-Instruct,word_1,23,0.9887341856956482
Qwen/Qwen2.5-0.5B-Instruct,word_1,24,0.9662591814994812
Qwen/Qwen2.5-0.5B-Instruct,word_2,0,0.9600399136543274
Qwen/Qwen2.5-0.5B-Instruct,word_2,1,0.9833160638809204
Qwen/Qwen2.5-0.5B-Instruct,word_2,2,0.9930293560028076
Qwen/Qwen2.5-0.5B-Instruct,word_2,3,0.9851935505867004
Qwen/Qwen2.5-0.5B-Instruct,word_2,4,0.9945928454399109
Qwen/Qwen2.5-0.5B-Instruct,word_2,5,0.9944099187850952
Qwen/Qwen2.5-0.5B-Instruct,word_2,6,0.9936974048614502
Qwen/Qwen2.5-0.5B-Instruct,word_2,7,0.9906729459762573
Qwen/Qwen2.5-0.5B-Instruct,word_2,8,0.9908027648925781
Qwen/Qwen2.5-0.5B-Instruct,word_2,9,0.9895110726356506
Qwen/Qwen2.5-0.5B-Instruct,word_2,10,0.9897623062133789
Qwen/Qwen2.5-0.5B-Instruct,word_2,11,0.9872937202453613
Qwen/Qwen2.5-0.5B-Instruct,word_2,12,0.9868758916854858
Qwen/Qwen2.5-0.5B-Instruct,word_2,13,0.983854353427887
